gender,age_at_enrollment,gpa,tuition_debt,scholarship,failed_subjects,credits_enrolled,credits_passed,warning_level,target_binary,source_target
1,20,0.0,0,0,0,0,0,2,1,Dropout
1,19,13.83,0,0,0,12,12,0,0,Graduate
1,19,0.0,0,0,12,12,0,2,1,Dropout
0,20,12.91,0,0,1,12,11,0,0,Graduate
0,45,12.67,0,0,1,12,11,0,0,Graduate
1,50,11.68,1,0,0,10,10,1,0,Graduate
0,18,13.82,0,1,0,15,15,0,0,Graduate
1,22,0.0,0,0,10,10,0,2,1,Dropout
0,21,14.01,0,1,0,12,12,0,0,Graduate
0,18,12.45,1,0,5,12,7,1,1,Dropout
0,18,13.27,0,0,1,12,11,0,0,Graduate
0,18,13.21,0,1,2,16,14,0,0,Graduate
0,19,0.0,0,0,12,12,0,2,1,Dropout
0,21,10.79,0,1,1,12,11,1,0,Graduate
0,18,12.62,0,1,1,10,9,0,0,Graduate
0,20,6.6,0,0,7,12,5,2,1,Dropout
0,18,11.5,0,0,9,12,3,2,0,Enrolled
0,18,13.93,0,0,0,15,15,0,0,Graduate
0,20,12.38,0,0,2,10,8,0,0,Graduate
0,18,12.58,0,0,2,14,12,0,0,Enrolled
0,21,0.0,0,1,0,0,0,2,0,Graduate
0,20,11.43,0,0,0,15,15,1,0,Enrolled
0,18,12.86,0,0,2,16,14,0,0,Graduate
0,19,12.83,0,1,0,12,12,0,0,Graduate
0,19,13.71,0,0,2,15,13,0,0,Graduate
0,18,11.3,1,1,3,12,9,1,0,Enrolled
0,21,12.33,0,0,0,12,12,0,0,Graduate
0,18,12.83,0,0,1,10,9,0,0,Enrolled
0,20,12.17,0,0,0,10,10,0,0,Graduate
1,19,13.32,0,0,2,14,12,0,0,Enrolled
1,21,11.21,0,0,2,12,10,1,0,Enrolled
1,20,13.12,0,0,2,12,10,0,0,Graduate
1,18,12.42,0,0,5,10,5,1,0,Enrolled
0,19,13.52,0,0,0,12,12,0,0,Graduate
1,34,12.91,0,0,0,10,10,0,0,Graduate
1,37,5.0,1,0,13,14,1,2,1,Dropout
1,43,0.0,0,0,10,10,0,2,1,Dropout
0,55,11.0,0,0,7,10,3,2,1,Dropout
0,39,11.3,0,0,0,10,10,1,0,Graduate
0,20,11.83,1,0,6,12,6,2,1,Dropout
0,18,6.38,1,0,7,11,4,2,1,Dropout
0,22,15.3,0,0,0,10,10,0,0,Graduate
0,22,14.14,0,0,3,15,12,1,0,Graduate
0,20,13.4,0,0,3,12,9,1,1,Dropout
0,29,0.0,0,0,10,10,0,2,1,Dropout
0,24,12.92,0,0,5,10,5,1,0,Enrolled
0,18,12.43,0,0,1,12,11,0,0,Graduate
0,22,13.64,0,1,2,15,13,0,0,Graduate
0,21,12.39,0,1,0,12,12,0,0,Graduate
0,19,12.58,0,1,1,12,11,0,0,Graduate
0,24,13.92,0,1,0,12,12,0,0,Graduate
0,19,11.83,0,1,4,16,12,1,0,Enrolled
0,20,12.5,0,1,5,12,7,1,0,Enrolled
0,19,15.26,0,0,0,10,10,0,0,Graduate
0,27,10.8,0,0,0,10,10,1,1,Dropout
0,18,13.32,0,0,0,15,15,0,0,Graduate
0,39,0.0,0,0,12,12,0,2,1,Dropout
0,27,12.95,0,0,2,17,15,0,1,Dropout
0,18,14.94,0,0,0,16,16,0,0,Graduate
0,18,0.0,0,0,0,0,0,2,0,Enrolled
0,18,12.68,0,0,2,15,13,0,0,Graduate
0,21,12.0,0,1,0,12,12,0,0,Graduate
1,19,0.0,0,1,0,0,0,2,0,Enrolled
1,19,10.7,0,0,6,12,6,2,0,Enrolled
1,24,0.0,0,0,12,12,0,2,0,Enrolled
1,29,11.45,0,0,5,15,10,1,1,Dropout
1,19,0.0,0,1,0,0,0,2,0,Graduate
1,23,12.5,0,0,0,12,12,0,0,Graduate
1,19,10.98,1,0,1,10,9,1,1,Dropout
1,26,11.4,0,0,1,12,11,1,0,Enrolled
1,18,0.0,0,0,10,10,0,2,0,Enrolled
1,24,12.86,0,0,0,15,15,0,0,Graduate
1,19,0.0,0,0,0,0,0,2,1,Dropout
1,18,11.83,0,0,8,12,4,2,1,Dropout
1,18,12.33,0,0,3,12,9,1,0,Graduate
1,18,10.6,1,0,4,10,6,1,1,Dropout
1,21,10.75,0,1,7,12,5,2,1,Dropout
1,19,13.5,1,1,0,12,12,0,0,Graduate
1,22,14.95,0,1,0,15,15,0,0,Graduate
1,33,11.83,0,0,0,12,12,1,0,Graduate
1,20,12.2,0,0,2,12,10,0,1,Dropout
1,35,0.0,0,0,6,6,0,2,1,Dropout
1,24,12.73,1,0,8,24,16,2,1,Dropout
1,18,11.67,0,0,2,10,8,1,0,Enrolled
0,33,11.0,0,0,1,12,11,1,0,Graduate
0,22,13.08,0,1,2,16,14,0,0,Graduate
0,25,11.05,0,1,1,10,9,1,0,Graduate
1,20,10.93,0,0,1,12,11,1,0,Graduate
1,23,13.9,0,0,1,10,9,0,0,Enrolled
1,18,5.0,1,0,8,10,2,2,0,Enrolled
1,24,0.0,0,0,14,14,0,2,1,Dropout
0,21,13.75,0,0,0,12,12,0,0,Graduate
0,26,6.0,0,0,10,12,2,2,1,Dropout
0,39,6.33,0,0,9,12,3,2,1,Dropout
0,44,12.1,0,0,0,14,14,0,0,Graduate
1,19,13.62,0,0,2,10,8,0,0,Enrolled
0,18,13.5,0,0,0,12,12,0,0,Graduate
0,18,14.11,0,1,0,15,15,0,0,Graduate
0,19,14.0,0,0,0,10,10,0,0,Enrolled
0,19,5.98,1,0,10,14,4,2,1,Dropout
0,21,13.14,0,0,6,19,13,2,1,Dropout
0,20,0.0,0,0,0,0,0,2,0,Graduate
0,36,0.0,0,0,12,12,0,2,1,Dropout
0,43,14.43,0,0,0,31,31,0,0,Graduate
0,19,0.0,0,0,12,12,0,2,1,Dropout
0,20,12.64,1,0,0,21,21,0,0,Graduate
0,19,0.0,0,0,12,12,0,2,1,Dropout
0,20,13.72,0,0,4,12,8,1,1,Dropout
0,20,12.78,0,0,3,14,11,1,1,Dropout
0,20,12.33,0,0,5,14,9,1,0,Enrolled
0,18,14.43,0,0,0,12,12,0,0,Graduate
0,18,12.0,0,1,4,10,6,1,0,Enrolled
0,19,13.1,0,0,0,10,10,0,0,Graduate
0,18,12.62,0,0,0,12,12,0,0,Graduate
0,18,12.52,0,0,2,14,12,0,1,Dropout
0,20,12.31,0,0,1,14,13,0,0,Enrolled
0,20,10.38,0,1,6,12,6,2,0,Enrolled
0,20,10.5,0,0,4,10,6,1,0,Enrolled
0,18,12.27,0,0,0,10,10,0,0,Graduate
0,18,13.3,0,0,0,10,10,0,0,Graduate
0,21,11.0,0,0,7,12,5,2,1,Dropout
0,19,11.02,0,0,1,10,9,1,0,Graduate
0,19,0.0,0,0,0,0,0,2,1,Dropout
0,19,13.5,0,1,0,10,10,0,0,Graduate
0,19,13.18,0,0,0,12,12,0,0,Graduate
0,19,6.05,0,0,9,14,5,2,1,Dropout
0,20,13.97,0,0,1,12,11,0,0,Graduate
0,18,13.1,0,1,2,12,10,0,0,Enrolled
0,18,13.33,0,0,0,12,12,0,0,Graduate
0,19,14.24,0,0,0,15,15,0,0,Graduate
0,18,13.49,0,1,1,15,14,0,1,Dropout
0,18,12.67,0,0,0,12,12,0,0,Graduate
0,19,13.5,0,0,0,10,10,0,0,Graduate
0,19,7.0,0,0,9,14,5,2,1,Dropout
0,20,11.69,0,0,0,16,16,1,0,Graduate
0,19,12.25,1,1,3,12,9,1,1,Dropout
0,20,11.85,0,0,2,10,8,1,0,Graduate
0,18,14.83,1,1,0,12,12,0,0,Graduate
0,20,13.04,0,1,3,15,12,1,0,Enrolled
0,18,17.36,0,0,0,15,15,0,0,Graduate
0,19,12.67,0,0,2,14,12,0,0,Graduate
0,19,12.33,0,1,1,12,11,0,0,Graduate
0,22,0.0,1,0,10,10,0,2,0,Enrolled
0,19,11.42,0,1,0,12,12,1,0,Graduate
0,19,12.97,0,1,0,15,15,0,0,Graduate
0,19,11.4,0,1,2,12,10,1,0,Graduate
0,19,0.0,0,0,10,10,0,2,1,Dropout
0,20,11.43,0,0,4,12,8,1,1,Dropout
0,18,13.77,0,0,0,10,10,0,0,Graduate
0,20,14.02,0,1,2,15,13,0,0,Graduate
0,18,0.0,0,0,0,0,0,2,0,Enrolled
0,19,12.9,0,0,0,10,10,0,0,Graduate
0,18,11.58,0,0,4,12,8,1,0,Enrolled
0,18,12.57,0,0,1,12,11,0,0,Graduate
0,21,11.33,0,0,6,12,6,2,1,Dropout
0,19,11.75,0,0,2,12,10,1,1,Dropout
0,18,11.2,0,1,0,10,10,1,0,Graduate
0,18,12.05,0,1,0,12,12,0,0,Graduate
0,20,11.42,0,0,2,12,10,1,0,Graduate
0,24,11.8,0,1,2,12,10,1,0,Graduate
0,19,13.08,0,0,0,12,12,0,1,Dropout
0,18,12.81,0,1,1,15,14,0,0,Graduate
0,18,15.14,0,0,0,15,15,0,0,Graduate
0,21,11.25,0,0,5,12,7,1,1,Dropout
0,19,14.2,0,0,0,10,10,0,0,Graduate
0,19,12.75,0,1,0,12,12,0,0,Graduate
0,47,0.0,1,0,7,7,0,2,0,Enrolled
0,19,11.33,0,0,3,12,9,1,0,Graduate
0,29,14.26,0,0,2,16,14,0,0,Graduate
0,21,11.67,0,0,7,12,5,2,1,Dropout
0,28,10.88,0,0,2,10,8,1,0,Enrolled
0,20,13.01,0,0,0,15,15,0,0,Graduate
0,19,11.68,0,0,2,14,12,1,0,Graduate
0,26,11.83,0,0,4,12,8,1,0,Graduate
0,20,12.46,1,0,2,12,10,0,1,Dropout
0,18,12.58,0,1,3,10,7,1,0,Enrolled
0,27,12.6,0,0,2,12,10,0,0,Graduate
0,20,11.95,0,0,6,14,8,2,1,Dropout
0,18,11.4,0,0,2,12,10,1,1,Dropout
0,33,14.47,0,0,3,15,12,1,1,Dropout
0,35,12.7,0,0,0,40,40,0,0,Graduate
0,26,12.92,0,1,0,12,12,0,0,Enrolled
0,27,6.0,1,0,7,12,5,2,1,Dropout
0,19,6.08,0,0,6,12,6,2,1,Dropout
0,20,0.0,0,0,12,12,0,2,1,Dropout
0,20,10.29,1,0,4,10,6,1,1,Dropout
0,21,10.75,1,0,4,16,12,1,0,Enrolled
0,18,13.05,0,1,2,14,12,0,0,Graduate
0,24,5.5,0,0,10,12,2,2,1,Dropout
0,20,11.75,0,0,0,12,12,1,0,Graduate
0,21,12.25,0,1,0,12,12,0,0,Graduate
0,23,10.0,0,0,8,11,3,2,0,Enrolled
0,24,0.0,0,0,10,10,0,2,1,Dropout
0,21,0.0,0,0,12,12,0,2,1,Dropout
0,18,12.24,0,0,2,16,14,0,0,Graduate
0,27,0.0,0,0,10,10,0,2,1,Dropout
0,18,12.93,0,0,0,16,16,0,0,Graduate
0,35,0.0,0,0,10,10,0,2,1,Dropout
0,18,13.5,0,0,0,14,14,0,0,Graduate
0,35,11.58,0,0,0,6,6,1,0,Enrolled
0,19,14.04,0,0,2,10,8,0,0,Graduate
0,20,11.25,0,0,0,12,12,1,0,Graduate
0,18,12.32,0,0,2,16,14,0,0,Graduate
0,21,11.94,1,0,0,12,12,1,0,Graduate
0,18,11.2,0,1,3,12,9,1,0,Graduate
0,18,10.88,0,0,4,12,8,1,0,Graduate
0,18,12.91,0,0,2,16,14,0,0,Graduate
0,18,14.0,0,1,0,12,12,0,0,Graduate
0,19,13.63,0,0,1,12,11,0,0,Graduate
0,36,13.26,0,1,1,12,11,0,1,Dropout
0,18,12.64,0,1,2,16,14,0,0,Graduate
0,18,12.92,0,1,2,14,12,0,0,Graduate
0,20,15.74,0,1,0,12,12,0,0,Graduate
0,26,0.0,0,1,10,10,0,2,1,Dropout
0,21,11.86,0,0,0,12,12,1,0,Graduate
0,25,12.72,0,0,1,15,14,0,0,Enrolled
0,19,11.6,0,1,0,10,10,1,0,Graduate
0,24,5.0,0,0,11,12,1,2,1,Dropout
0,27,5.0,0,1,11,12,1,2,1,Dropout
0,21,6.75,0,0,8,10,2,2,1,Dropout
0,18,12.67,0,1,3,10,7,1,0,Graduate
0,19,13.92,0,1,0,12,12,0,0,Graduate
0,18,11.88,0,0,6,12,6,2,1,Dropout
0,19,13.02,0,1,3,15,12,1,0,Graduate
0,19,14.33,0,1,2,15,13,0,0,Graduate
0,33,15.57,0,0,0,11,11,0,0,Graduate
0,45,12.4,0,0,0,10,10,0,0,Graduate
0,20,12.43,0,1,0,12,12,0,0,Graduate
0,28,0.0,0,0,10,10,0,2,1,Dropout
0,19,11.57,0,1,2,16,14,1,0,Graduate
0,18,12.76,0,0,3,12,9,1,0,Graduate
0,38,0.0,0,0,12,12,0,2,1,Dropout
0,19,13.1,0,0,0,10,10,0,0,Graduate
0,21,11.5,0,1,2,12,10,1,0,Graduate
0,21,13.5,0,0,6,10,4,2,1,Dropout
0,22,12.8,0,1,1,12,11,0,0,Graduate
0,18,13.28,0,1,1,12,11,0,0,Graduate
0,18,11.45,0,1,0,12,12,1,0,Graduate
0,25,13.88,0,0,2,10,8,0,1,Dropout
0,24,11.04,1,0,6,12,6,2,1,Dropout
0,19,11.97,0,0,1,14,13,1,0,Enrolled
0,24,13.23,0,0,10,30,20,2,0,Enrolled
0,20,12.6,0,1,0,10,10,0,0,Graduate
0,25,0.0,0,0,10,10,0,2,1,Dropout
0,20,12.63,0,1,1,20,19,0,0,Graduate
0,23,13.22,0,0,0,16,16,0,0,Graduate
0,19,13.15,0,1,2,16,14,0,0,Graduate
0,29,12.04,1,0,6,12,6,2,1,Dropout
0,21,11.79,0,0,2,12,10,1,0,Graduate
0,18,13.7,0,1,1,12,11,0,0,Graduate
0,19,12.4,0,0,2,12,10,0,0,Enrolled
0,18,13.92,0,1,0,12,12,0,1,Dropout
0,19,13.7,0,0,0,10,10,0,0,Graduate
0,18,5.5,0,0,11,12,1,2,0,Enrolled
0,18,11.6,0,0,0,10,10,1,0,Graduate
0,37,8.0,1,1,13,14,1,2,1,Dropout
0,29,12.95,0,0,0,10,10,0,0,Graduate
0,18,12.17,0,0,0,12,12,0,0,Enrolled
0,19,12.17,0,1,2,12,10,0,0,Graduate
0,22,12.42,1,0,9,17,8,2,1,Dropout
0,20,10.88,0,1,1,12,11,1,0,Graduate
0,34,0.0,0,0,12,12,0,2,1,Dropout
0,30,11.96,1,0,10,24,14,2,1,Dropout
0,18,14.0,0,0,0,12,12,0,0,Graduate
0,18,12.42,0,0,0,12,12,0,0,Graduate
0,18,11.96,0,0,5,12,7,1,0,Graduate
0,18,14.83,0,0,2,16,14,0,0,Graduate
0,19,12.1,0,1,2,12,10,0,0,Graduate
0,19,12.75,0,1,0,12,12,0,0,Graduate
0,18,13.67,0,1,2,16,14,0,0,Graduate
0,21,12.73,0,1,1,12,11,0,0,Graduate
0,20,11.5,0,0,7,10,3,2,1,Dropout
0,20,12.92,0,0,0,10,10,0,0,Graduate
0,19,13.11,0,0,0,15,15,0,0,Graduate
0,20,14.96,0,0,0,12,12,0,0,Graduate
0,18,14.54,0,0,0,15,15,0,0,Graduate
0,20,10.83,0,0,4,12,8,1,1,Dropout
0,29,12.38,1,0,4,16,12,1,1,Dropout
0,18,13.79,0,1,0,15,15,0,0,Enrolled
0,20,13.91,0,1,1,15,14,0,0,Graduate
0,22,11.7,0,1,2,10,8,1,0,Graduate
0,47,14.17,0,1,1,12,11,0,0,Graduate
0,31,13.9,0,0,0,10,10,0,0,Graduate
0,21,13.32,0,1,1,12,11,0,0,Graduate
0,21,12.33,0,0,1,12,11,0,0,Graduate
0,24,13.0,0,0,0,12,12,0,0,Graduate
0,18,12.42,0,0,0,12,12,0,0,Enrolled
0,32,11.75,0,0,4,12,8,1,0,Graduate
0,19,11.17,0,1,0,12,12,1,0,Graduate
0,24,13.38,0,0,0,16,16,0,0,Graduate
0,19,15.08,0,0,0,12,12,0,0,Graduate
0,19,14.08,1,1,0,12,12,0,0,Graduate
0,24,12.21,0,0,1,12,11,0,0,Enrolled
